Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Frequency Score,Amount Normalized,Purchases Normalized,Value Score,Value Tier,Purchases Freq Normalized,Loyalty Score A,Loyalty Score B,Promo Dependency Score,Satisfaction Flag,Loyalty Tier
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Fortnightly,4,0.175,0.5102040816326531,0.3426020408163265,Mid Value,0.75,0.6301020408163265,0.5040816326530612,2,Satisfied,Mid Loyalty
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,4,0.6,0.1836734693877551,0.39183673469387753,Mid Value,0.75,0.46683673469387754,0.3734693877551021,2,Satisfied,Mid Loyalty
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,4,0.65,0.7346938775510204,0.6923469387755102,High Value,0.75,0.7423469387755102,0.5938775510204082,2,Satisfied,Mid Loyalty
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,5,0.3875,0.6122448979591837,0.4998724489795918,Mid Value,1.0,0.8061224489795918,0.6448979591836735,2,Satisfied,Mid Loyalty
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,5,0.4125,0.673469387755102,0.542984693877551,Mid Value,1.0,0.8367346938775511,0.6693877551020408,2,Satisfied,High Loyalty
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,3,0.7625,0.14285714285714285,0.4526785714285714,Mid Value,0.5,0.3214285714285714,0.2571428571428571,2,Unsatisfied,Low Loyalty
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Fortnightly,4,0.2,0.8775510204081632,0.5387755102040817,Mid Value,0.75,0.8137755102040816,0.6510204081632653,2,Satisfied,Mid Loyalty
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,2,0.225,0.7142857142857143,0.46964285714285714,Mid Value,0.25,0.48214285714285715,0.38571428571428573,2,Satisfied,Mid Loyalty
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,5,0.35,0.32653061224489793,0.338265306122449,Mid Value,1.0,0.6632653061224489,0.5306122448979592,2,Satisfied,Mid Loyalty
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Fortnightly,4,0.875,0.9183673469387755,0.8966836734693877,High Value,0.75,0.8341836734693877,0.6673469387755102,2,Unsatisfied,High Loyalty
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Quarterly,2,0.3875,1.0,0.69375,High Value,0.25,0.625,0.5,2,Unsatisfied,Mid Loyalty
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,2,0.525,0.42857142857142855,0.47678571428571426,Mid Value,0.25,0.3392857142857143,0.27142857142857146,2,Satisfied,Low Loyalty
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,1,0.2125,0.6326530612244898,0.4225765306122449,Mid Value,0.0,0.3163265306122449,0.25306122448979596,2,Unsatisfied,Low Loyalty
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,5,0.85,0.7959183673469388,0.8229591836734693,High Value,1.0,0.8979591836734694,0.7183673469387756,2,Satisfied,High Loyalty
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,5,0.025,0.30612244897959184,0.16556122448979593,Low Value,1.0,0.653061224489796,0.5224489795918368,2,Unsatisfied,Mid Loyalty
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,1,0.0625,0.2653061224489796,0.1639030612244898,Low Value,0.0,0.1326530612244898,0.10612244897959185,2,Unsatisfied,Low Loyalty
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,1,0.0,0.24489795918367346,0.12244897959183673,Low Value,0.0,0.12244897959183673,0.0979591836734694,2,Unsatisfied,Low Loyalty
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Quarterly,2,0.45,0.12244897959183673,0.28622448979591836,Low Value,0.25,0.18622448979591838,0.1489795918367347,2,Satisfied,Low Loyalty
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Quarterly,2,0.925,0.8163265306122449,0.8706632653061225,High Value,0.25,0.5331632653061225,0.42653061224489797,2,Satisfied,Mid Loyalty
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,5,0.35,0.2653061224489796,0.30765306122448977,Low Value,1.0,0.6326530612244898,0.5061224489795919,2,Satisfied,Mid Loyalty
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,3,0.1375,0.30612244897959184,0.22181122448979593,Low Value,0.5,0.4030612244897959,0.32244897959183677,2,Satisfied,Low Loyalty
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,3,0.7375,0.8979591836734694,0.8177295918367347,High Value,0.5,0.6989795918367347,0.5591836734693878,2,Satisfied,Mid Loyalty
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,1,0.5875,0.7346938775510204,0.6610969387755102,Mid Value,0.0,0.3673469387755102,0.2938775510204082,2,Satisfied,Low Loyalty
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,2,0.225,0.8979591836734694,0.5614795918367347,Mid Value,0.25,0.5739795918367347,0.4591836734693878,2,Unsatisfied,Mid Loyalty
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,2,0.8875,0.7551020408163265,0.8213010204081632,High Value,0.25,0.5025510204081632,0.4020408163265306,2,Satisfied,Mid Loyalty
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Fortnightly,4,0.1625,0.9591836734693877,0.5608418367346939,Mid Value,0.75,0.8545918367346939,0.6836734693877551,2,Satisfied,High Loyalty
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,4,0.6125,0.8775510204081632,0.7450255102040817,High Value,0.75,0.8137755102040816,0.6510204081632653,2,Satisfied,Mid Loyalty
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,5,0.3125,0.1836734693877551,0.24808673469387754,Low Value,1.0,0.5918367346938775,0.47346938775510206,2,Unsatisfied,Mid Loyalty
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,2,0.2125,0.8775510204081632,0.5450255102040816,Mid Value,0.25,0.5637755102040816,0.4510204081632653,2,Unsatisfied,Mid Loyalty
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,3,0.5,0.3469387755102041,0.423469387755102,Mid Value,0.5,0.423469387755102,0.33877551020408164,2,Satisfied,Mid Loyalty
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,2,0.7,0.6122448979591837,0.6561224489795918,Mid Value,0.25,0.43112244897959184,0.3448979591836735,2,Satisfied,Mid Loyalty
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,1,0.2375,0.7959183673469388,0.5167091836734694,Mid Value,0.0,0.3979591836734694,0.31836734693877555,2,Satisfied,Low Loyalty
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,1,1.0,0.2857142857142857,0.6428571428571428,Mid Value,0.0,0.14285714285714285,0.11428571428571428,2,Satisfied,Low Loyalty
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,4,0.6125,0.3673469387755102,0.4899234693877551,Mid Value,0.75,0.5586734693877551,0.4469387755102041,2,Unsatisfied,Mid Loyalty
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,5,0.4125,0.8979591836734694,0.6552295918367347,Mid Value,1.0,0.9489795918367347,0.7591836734693879,2,Satisfied,High Loyalty
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,1,0.0125,0.4897959183673469,0.25114795918367344,Low Value,0.0,0.24489795918367346,0.1959183673469388,2,Unsatisfied,Low Loyalty
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,2,0.2875,0.8979591836734694,0.5927295918367347,Mid Value,0.25,0.5739795918367347,0.4591836734693878,2,Unsatisfied,Mid Loyalty
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,5,0.425,0.7142857142857143,0.5696428571428571,Mid Value,1.0,0.8571428571428572,0.6857142857142858,2,Satisfied,High Loyalty
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,3,0.4375,0.7551020408163265,0.5963010204081632,Mid Value,0.5,0.6275510204081632,0.5020408163265306,2,Unsatisfied,Mid Loyalty
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Fortnightly,4,0.125,0.673469387755102,0.399234693877551,Mid Value,0.75,0.7117346938775511,0.5693877551020409,2,Satisfied,Mid Loyalty
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,39,Debit Card,Fortnightly,4,0.1,0.7755102040816326,0.4377551020408163,Mid Value,0.75,0.7627551020408163,0.610204081632653,2,Unsatisfied,Mid Loyalty
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,2,0.4875,0.12244897959183673,0.30497448979591835,Low Value,0.25,0.18622448979591838,0.1489795918367347,2,Satisfied,Low Loyalty
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,5,0.0,0.5102040816326531,0.25510204081632654,Low Value,1.0,0.7551020408163265,0.6040816326530613,2,Unsatisfied,Mid Loyalty
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,5,0.05,0.6938775510204082,0.3719387755102041,Mid Value,1.0,0.846938775510204,0.6775510204081633,2,Satisfied,High Loyalty
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Fortnightly,4,0.925,0.6938775510204082,0.8094387755102042,High Value,0.75,0.721938775510204,0.5775510204081632,2,Satisfied,Mid Loyalty
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,1,0.1,0.9795918367346939,0.539795918367347,Mid Value,0.0,0.4897959183673469,0.3918367346938776,2,Unsatisfied,Mid Loyalty
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,5,0.6625,0.9183673469387755,0.7904336734693878,High Value,1.0,0.9591836734693877,0.7673469387755102,2,Satisfied,High Loyalty
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,4,0.55,0.32653061224489793,0.43826530612244896,Mid Value,0.75,0.5382653061224489,0.4306122448979592,2,Satisfied,Mid Loyalty
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,3,0.425,0.5714285714285714,0.4982142857142857,Mid Value,0.5,0.5357142857142857,0.4285714285714286,2,Satisfied,Mid Loyalty
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,5,0.7375,0.061224489795918366,0.3993622448979592,Mid Value,1.0,0.5306122448979592,0.4244897959183674,2,Satisfied,Mid Loyalty
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,5,0.2125,0.32653061224489793,0.26951530612244895,Low Value,1.0,0.6632653061224489,0.5306122448979592,2,Satisfied,Mid Loyalty
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Quarterly,2,0.6,0.40816326530612246,0.5040816326530613,Mid Value,0.25,0.32908163265306123,0.26326530612244897,2,Satisfied,Low Loyalty
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,4,0.0125,0.6122448979591837,0.3123724489795918,Low Value,0.75,0.6811224489795918,0.5448979591836735,2,Unsatisfied,Mid Loyalty
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,5,0.7375,0.8571428571428571,0.7973214285714285,High Value,1.0,0.9285714285714286,0.7428571428571429,2,Unsatisfied,High Loyalty
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,4,0.7875,0.3469387755102041,0.5672193877551021,Mid Value,0.75,0.548469387755102,0.4387755102040816,2,Satisfied,Mid Loyalty
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,2,0.2,0.8775510204081632,0.5387755102040817,Mid Value,0.25,0.5637755102040816,0.4510204081632653,2,Satisfied,Mid Loyalty
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Quarterly,2,0.925,0.04081632653061224,0.48290816326530617,Mid Value,0.25,0.14540816326530612,0.1163265306122449,2,Satisfied,Low Loyalty
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,3,0.1625,0.9795918367346939,0.571045918367347,Mid Value,0.5,0.7397959183673469,0.5918367346938775,2,Satisfied,Mid Loyalty
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Quarterly,2,0.325,0.40816326530612246,0.3665816326530612,Mid Value,0.25,0.32908163265306123,0.26326530612244897,2,Satisfied,Low Loyalty
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,5,0.625,0.08163265306122448,0.35331632653061223,Mid Value,1.0,0.5408163265306123,0.4326530612244899,2,Satisfied,Mid Loyalty
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Quarterly,2,0.1125,0.6326530612244898,0.37257653061224494,Mid Value,0.25,0.4413265306122449,0.35306122448979593,2,Satisfied,Mid Loyalty
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,1,0.35,0.673469387755102,0.511734693877551,Mid Value,0.0,0.336734693877551,0.2693877551020408,2,Unsatisfied,Low Loyalty
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Quarterly,2,0.075,0.40816326530612246,0.24158163265306123,Low Value,0.25,0.32908163265306123,0.26326530612244897,2,Unsatisfied,Low Loyalty
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Fortnightly,4,0.8125,0.8571428571428571,0.8348214285714286,High Value,0.75,0.8035714285714286,0.6428571428571429,2,Unsatisfied,Mid Loyalty
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,3,0.475,0.04081632653061224,0.25790816326530613,Low Value,0.5,0.27040816326530615,0.21632653061224494,2,Satisfied,Low Loyalty
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,1,0.8125,0.40816326530612246,0.6103316326530612,Mid Value,0.0,0.20408163265306123,0.163265306122449,2,Unsatisfied,Low Loyalty
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,3,0.2875,0.6326530612244898,0.4600765306122449,Mid Value,0.5,0.5663265306122449,0.45306122448979597,2,Satisfied,Mid Loyalty
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,4,0.4125,0.7142857142857143,0.5633928571428571,Mid Value,0.75,0.7321428571428572,0.5857142857142857,2,Unsatisfied,Mid Loyalty
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,4,0.8875,1.0,0.94375,High Value,0.75,0.875,0.7000000000000001,2,Satisfied,High Loyalty
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Quarterly,2,0.95,0.8571428571428571,0.9035714285714285,High Value,0.25,0.5535714285714286,0.4428571428571429,2,Unsatisfied,Mid Loyalty
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Quarterly,2,0.65,0.46938775510204084,0.5596938775510204,Mid Value,0.25,0.35969387755102045,0.2877551020408164,2,Unsatisfied,Low Loyalty
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Quarterly,2,0.95,0.7142857142857143,0.8321428571428571,High Value,0.25,0.48214285714285715,0.38571428571428573,2,Unsatisfied,Mid Loyalty
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Quarterly,2,0.1,0.40816326530612246,0.2540816326530612,Low Value,0.25,0.32908163265306123,0.26326530612244897,2,Satisfied,Low Loyalty
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,5,0.25,0.673469387755102,0.461734693877551,Mid Value,1.0,0.8367346938775511,0.6693877551020408,2,Satisfied,High Loyalty
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Quarterly,2,0.15,0.8367346938775511,0.49336734693877554,Mid Value,0.25,0.5433673469387755,0.43469387755102046,2,Satisfied,Mid Loyalty
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Fortnightly,4,0.9375,0.02040816326530612,0.4789540816326531,Mid Value,0.75,0.3852040816326531,0.3081632653061225,2,Satisfied,Low Loyalty
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Fortnightly,4,0.2625,0.9387755102040817,0.6006377551020409,Mid Value,0.75,0.8443877551020409,0.6755102040816328,2,Unsatisfied,High Loyalty
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,4,0.4125,0.8775510204081632,0.6450255102040816,Mid Value,0.75,0.8137755102040816,0.6510204081632653,2,Unsatisfied,Mid Loyalty
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,3,0.3375,0.6938775510204082,0.5156887755102041,Mid Value,0.5,0.596938775510204,0.4775510204081632,2,Unsatisfied,Mid Loyalty
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,2,0.7875,0.2857142857142857,0.5366071428571428,Mid Value,0.25,0.26785714285714285,0.2142857142857143,2,Unsatisfied,Low Loyalty
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,3,0.35,0.5714285714285714,0.4607142857142857,Mid Value,0.5,0.5357142857142857,0.4285714285714286,2,Unsatisfied,Mid Loyalty
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Quarterly,2,0.9875,0.3469387755102041,0.667219387755102,Mid Value,0.25,0.298469387755102,0.2387755102040816,2,Satisfied,Low Loyalty
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Quarterly,2,0.8375,0.24489795918367346,0.5411989795918367,Mid Value,0.25,0.24744897959183673,0.1979591836734694,2,Satisfied,Low Loyalty
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,5,0.525,0.9183673469387755,0.7216836734693878,High Value,1.0,0.9591836734693877,0.7673469387755102,2,Satisfied,High Loyalty
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,5,0.7,0.5510204081632653,0.6255102040816326,Mid Value,1.0,0.7755102040816326,0.6204081632653061,2,Satisfied,Mid Loyalty
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,3,1.0,0.9591836734693877,0.9795918367346939,High Value,0.5,0.7295918367346939,0.5836734693877551,2,Unsatisfied,Mid Loyalty
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Quarterly,2,0.6625,0.8571428571428571,0.7598214285714285,High Value,0.25,0.5535714285714286,0.4428571428571429,2,Unsatisfied,Mid Loyalty
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,1,0.9,0.7346938775510204,0.8173469387755102,High Value,0.0,0.3673469387755102,0.2938775510204082,2,Satisfied,Low Loyalty
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,1,0.5875,0.3877551020408163,0.48762755102040817,Mid Value,0.0,0.19387755102040816,0.15510204081632653,2,Unsatisfied,Low Loyalty
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,2,0.25,0.6530612244897959,0.45153061224489793,Mid Value,0.25,0.45153061224489793,0.36122448979591837,2,Unsatisfied,Mid Loyalty
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,4,0.975,0.6122448979591837,0.7936224489795918,High Value,0.75,0.6811224489795918,0.5448979591836735,2,Unsatisfied,Mid Loyalty
